SMILES,Authors,Congener,Albumin_Type,Temperature,Method,Ka
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)O,Beesoon & Martin.2015,5m-PFOA,HSA,310.0,ultrafiltration centrifugation,3333.3333333333335
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Bischel et al.2010,PFOA,BSA,294.0,Equilibrium dialysis,200000.0
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Bischel et al.2010,PFOA,BSA,294.0,Equilibrium dialysis,1400000.0
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Bischel et al.2010,PFNA,BSA,294.0,Equilibrium dialysis,1100000.0
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Bischel et al.2010,PFNA,BSA,294.0,Equilibrium dialysis,3300000.0
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Bischel et al.2010,PFNA,HSA,295.0,Equilibrium dialysis,2100000.0
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Bischel et al.2010,PFOA,BSA,-100.0,nanoESI-MS,130000.0
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Bischel et al.2010,PFNA,BSA,-100.0,nanoESI-MS,260000.0
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Bischel et al.2010,PFNA,BSA,295.0,Equilibrium dialysis,1400000.0
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Chen et al.2015,PFOA,BSA,295.0,fluorescence quenching,479000.0
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Chen et al.2015,PFOA,BSA,300.0,fluorescence quenching,377000.0
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Chen et al.2015,PFOA,BSA,305.0,fluorescence quenching,287000.0
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Chen et al.2015,PFOA,BSA,310.0,fluorescence quenching,244000.0
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Chen et al.2015,PFOS,BSA,295.0,fluorescence quenching,751000.0
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Chen et al.2015,PFOS,BSA,300.0,fluorescence quenching,574000.0
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Chen et al.2015,PFOS,BSA,305.0,fluorescence quenching,419000.0
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Chen et al.2015,PFOS,BSA,310.0,fluorescence quenching,338000.0
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Chi et al. 2018,PFOA,BSA,310.0,ESI-MS,830000.0
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Chi et al. 2018,PFOS,BSA,310.0,ESI-MS,990000.0
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Chi et al. 2018,PFOA,HSA,310.0,ESI-MS,130000.0
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Chi et al. 2018,PFOS,HSA,310.0,ESI-MS,200000.0
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Chi et al. 2018,PFOA,BSA,310.0,ESI-MS,260000.0
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Chi et al. 2018,PFOS,BSA,310.0,ESI-MS,910000.0
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Chi et al. 2018,PFOA,HSA,310.0,ESI-MS,120000.0
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Chi et al. 2018,PFOS,HSA,310.0,ESI-MS,140000.0
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Chi et al. 2018,PFOA,BSA,310.0,ESI-MS,210000.0
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Chi et al. 2018,PFOS,BSA,310.0,ESI-MS,760000.0
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Chi et al. 2018,PFOA,HSA,310.0,ESI-MS,110000.0
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Chi et al. 2018,PFOS,HSA,310.0,ESI-MS,110000.0
C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,Crisalli et al.2023,PFBA,HSA,298.0,Isothermal Titration Calorimetry,31062.0
C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Crisalli et al.2023,PFHxA,HSA,298.0,Isothermal Titration Calorimetry,400540.0
C1(C(O1)(F)F)(C(F)(F)F)F,Crisalli et al.2023,HFPO-DA,HSA,298.0,Isothermal Titration Calorimetry,216130.0
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Crisalli et al.2023,PFHpA,HSA,298.0,Isothermal Titration Calorimetry,2155500.0
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Crisalli et al.2023,PFOA,HSA,298.0,Isothermal Titration Calorimetry,9324800.0
C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,Gao et al.2019,PFBA,HSA,310.0,Equilibrium dialysis,2386.634844868735
C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O,Gao et al.2019,PFPeA,HSA,310.0,Equilibrium dialysis,3496.5034965034965
C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Gao et al.2019,PFHxA,HSA,310.0,Equilibrium dialysis,5128.205128205128
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Gao et al.2019,PFHpA,HSA,310.0,Equilibrium dialysis,5813.953488372093
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Gao et al.2019,PFOA,HSA,310.0,Equilibrium dialysis,8695.652173913044
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Gao et al.2019,PFNA,HSA,310.0,Equilibrium dialysis,13698.630136986301
C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Gao et al.2019,PFDA,HSA,310.0,Equilibrium dialysis,15384.615384615387
C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Gao et al.2019,PFUnA,HSA,310.0,Equilibrium dialysis,12658.227848101267
C(=O)(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Gao et al.2019,PFDoA,HSA,310.0,Equilibrium dialysis,9708.73786407767
C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Gao et al.2019,PFTrA,HSA,310.0,Equilibrium dialysis,3773.5849056603774
C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Gao et al.2019,PFBS,HSA,310.0,Equilibrium dialysis,5917.15976331361
C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Gao et al.2019,PFHxS,HSA,310.0,Equilibrium dialysis,12658.227848101267
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Gao et al.2019,PFOS,HSA,310.0,Equilibrium dialysis,26315.78947368421
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(F)F,Gao et al.2019,9Cl-PF3ONS,HSA,310.0,Equilibrium dialysis,14925.373134328358
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Han et al.2003,PFOA,RSA,296.0,19F NMR Titration,3448.2758620689656
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Han et al.2003,PFOA,RSA,296.0,Microdesalting Column Separation,2777.777777777778
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Han et al.2003,PFOA,HSA,296.0,Microdesalting Column Separation,2631.578947368421
C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,Jackson et al.2021,PFBA,HSA,-100.0,DSF,389.1050583657588
C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O,Jackson et al.2021,PFPeA,HSA,-100.0,DSF,476.19047619047615
C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Jackson et al.2021,PFHxA,HSA,-100.0,DSF,609.7560975609756
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Jackson et al.2021,PFHpA,HSA,-100.0,DSF,2272.7272727272725
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Jackson et al.2021,PFOA,HSA,-100.0,DSF,1204.8192771084337
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Jackson et al.2021,PFNA,HSA,-100.0,DSF,1724.1379310344828
C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Jackson et al.2021,PFDA,HSA,-100.0,DSF,840.3361344537816
C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Jackson et al.2021,PFUnA,HSA,-100.0,DSF,735.2941176470588
C(=O)(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Jackson et al.2021,PFDoA,HSA,-100.0,DSF,529.1005291005291
C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Jackson et al.2021,PFBS,HSA,-100.0,DSF,606.0606060606061
C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Jackson et al.2021,PFHxS,HSA,-100.0,DSF,1408.4507042253522
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Jackson et al.2021,PFOS,HSA,-100.0,DSF,1449.2753623188407
C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F,Jackson et al.2021,E1,HSA,-100.0,DSF,609.7560975609756
C1(C(O1)(F)F)(C(F)(F)F)F,Jackson et al.2021,HFPO-DA,HSA,-100.0,DSF,625.0
C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(F)(F)S(=O)(=O)O)(F)F)F)(F)F)F,Jackson et al.2021,Nafion bp2,HSA,-100.0,DSF,662.251655629139
C(CS(=O)(=O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,Jackson et al.2021,6:2 FTSA,HSA,-100.0,DSF,653.59477124183
C(CC(C(C(F)(F)F)(F)F)(F)F)C(=O)O,Jackson et al.2021,3:3 FTCA,HSA,-100.0,DSF,584.7953216374269
C(CC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)C(=O)O,Jackson et al.2021,5:3 FTCA,HSA,-100.0,DSF,1612.9032258064517
C(CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(=O)O,Jackson et al.2021,6:3 FTCA,HSA,-100.0,DSF,1234.567901234568
C(CC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(=O)O,Jackson et al.2021,8:3 FTCA,HSA,-100.0,DSF,1030.9278350515465
C(CS(=O)(=O)O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Jackson et al.2021,4:2 FTSA,HSA,-100.0,DSF,934.5794392523364
C(CS(=O)(=O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,Jackson et al.2021,6:2 FTSA,HSA,-100.0,DSF,2702.702702702703
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,MacManus-Spencer et al.2010,PFOA,BSA,310.0,19F NMR Titration,630.0
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,MacManus-Spencer et al.2010,PFNA,BSA,310.0,19F NMR Titration,8000.0
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,MacManus-Spencer et al.2010,PFNA,HSA,310.0,19F NMR Titration,20000.0
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,MacManus-Spencer et al.2010,PFOA,BSA,310.0,fluorescence quenching,33000.0
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,MacManus-Spencer et al.2010,PFOA,BSA,310.0,fluorescence quenching,150000.0
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,MacManus-Spencer et al.2010,PFNA,BSA,310.0,fluorescence quenching,49000.0
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,MacManus-Spencer et al.2010,PFNA,BSA,310.0,fluorescence quenching,70000.0
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,MacManus-Spencer et al.2010,PFNA,BSA,310.0,fluorescence quenching,100000.0
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,MacManus-Spencer et al.2010,PFNA,BSA,310.0,fluorescence quenching,170000.0
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,MacManus-Spencer et al.2010,PFNA,BSA,310.0,fluorescence quenching,230000.0
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,MacManus-Spencer et al.2010,PFNA,BSA,310.0,fluorescence quenching,600000.0
C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,MacManus-Spencer et al.2010,PFDA,BSA,310.0,fluorescence quenching,180000.0
C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,MacManus-Spencer et al.2010,PFDA,BSA,310.0,fluorescence quenching,140000.0
C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,MacManus-Spencer et al.2010,PFDA,BSA,310.0,fluorescence quenching,300000.0
C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,MacManus-Spencer et al.2010,PFUnA,BSA,310.0,fluorescence quenching,300000.0
C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,MacManus-Spencer et al.2010,PFUnA,BSA,310.0,fluorescence quenching,20000.0
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,MacManus-Spencer et al.2010,PFNA,HSA,310.0,fluorescence quenching,30000.0
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,MacManus-Spencer et al.2010,PFNA,HSA,310.0,fluorescence quenching,50000.0
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Peng et al.2024,PFNA,HSA,298.0,fluorescence quenching,7810000.0
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Peng et al.2024,PFNA,HSA,304.0,fluorescence quenching,202000.0
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Peng et al.2024,PFNA,HSA,310.0,fluorescence quenching,99000.0
C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)O,Peng et al.2024,HFPO-TA,HSA,298.0,fluorescence quenching,3700000.0
C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)O,Peng et al.2024,HFPO-TA,HSA,304.0,fluorescence quenching,85400000.0
C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)O,Peng et al.2024,HFPO-TA,HSA,310.0,fluorescence quenching,2310000000.0
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Peng et al.2024,PFOA,HSA,298.0,fluorescence quenching,2270000.0
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Peng et al.2024,PFOA,HSA,304.0,fluorescence quenching,2230000.0
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Peng et al.2024,PFOA,HSA,310.0,fluorescence quenching,1980000.0
C(=O)(C(OC(C(OC(C(OC(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Peng et al.2024,PFO3DA,HSA,298.0,fluorescence quenching,159000.0
C(=O)(C(OC(C(OC(C(OC(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Peng et al.2024,PFO3DA,HSA,304.0,fluorescence quenching,45500.0
C(=O)(C(OC(C(OC(C(OC(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Peng et al.2024,PFO3DA,HSA,310.0,fluorescence quenching,29900.0
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Peng et al.2024,PFHpA,HSA,298.0,fluorescence quenching,4530.0
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Peng et al.2024,PFHpA,HSA,304.0,fluorescence quenching,535000.0
